Description,Extension,Category,MIME type,,,,,
Ventura Publisher 91x91 dpi display font,0.91,Font,application/x-font-ttf,,,,,
TrueType Font collection,.ttc,Font,application/x-font-type1,,,,,
Adobe font metrics,.afm,Font,Unknown,,,,,
Valve Source font,.vfont,Font,Unknown,,,,,
Lotus printer driver fonts,.apf,Font,Unknown,,,,,
Micrografx font,.ftm,Font,Unknown,,,,,
ChiWriter high resolution screen font,.eft,Font,application/x-font-type1,,,,,
Printer outline metric font,.pfm,Font,Unknown,,,,,
Microsoft Office document embedded font,.odttf,Font,Unknown,,,,,
Corel WordPerfect tagged font metric,.tmf,Font,Unknown,,,,,
HiJaak downloadable PCL soft font,.tpf,Font,Unknown,,,,,
Adobe Type Manager PostScript stub data,.pss,Font,Unknown,,,,,
Mathcad font,.mcf,Font,Unknown,,,,,
Microsoft Windows bitmap font,.fon,Font,Unknown,,,,,
Font collection cache,.collection,Font,Unknown,,,,,
Corel Ventura Publisher 96x96 dpi display font,0.96,Font,Unknown,,,,,
NeoPaint font,.gft,Font,Unknown,,,,,
AMP font library,.dzk,Font,Unknown,,,,,
Font description data,.vfb,Font,Unknown,,,,,
PCL4 Ventura printer bitmap font,.sfl,Font,Unknown,,,,,
ArtCAM font,.afn,Font,Unknown,,,,,
LaserJet portrait font file,.sfp,Font,Unknown,,,,,
Ventura Publisher 85x85 dpi display font,0.85,Font,application/x-font-type1,,,,,
PostScript type 1 font,.pfa,Font,Unknown,,,,,
Hanzi bitmap font,.hbf,Font,Unknown,,,,,
Big font set,.chx,Font,Unknown,,,,,
Alphacam user font,.auf,Font,Unknown,,,,,
Ventura Publisher 75x75 dpi display font,0.75,Font,Unknown,,,,,
Micrografx font,.mgf,Font,Unknown,,,,,
Oracle font cross-reference data,.fxr,Font,Unknown,,,,,
Processing font,.vlw,Font,Unknown,,,,,
6D Embroidery Software font,.vf3,Font,Unknown,,,,,
Corel Ventura Publisher HP LaserJet printer font,.sfi,Font,Unknown,,,,,
Ventura Publisher font metrics,.vfm,Font,Unknown,,,,,
MS-DOS screen text 11 pixels height font file,.f11,Font,Unknown,,,,,
Glyph Interchange Format,.glif,Font,Unknown,,,,,
Corel Ventura Publisher font characteristics,.vmf,Font,Unknown,,,,,
Adobe binary screen font,.abf,Font,Unknown,,,,,
PageMaker printer font,.usp,Font,Unknown,,,,,
Adobe PageMaker printer font,.0b,Font,Unknown,,,,,
Microsoft Windows Private Character Editor data,.tte,Font,Unknown,,,,,
Bitstream outline font description file,.bco,Font,Unknown,,,,,
Birch BP-743 variable pitch font,.vf1,Font,Unknown,,,,,
Mac Data Fork Suitcase Format,.dfont,Font,Unknown,,,,,
X-Fonter font collection,.xfc,Font,Unknown,,,,,
MetaFont font,.gf,Font,Unknown,,,,,
Font data,.font,Font,Unknown,,,,,
Zebra printer font file,.zsu,Font,application/x-font-ghostscript,,,,,
Ghostscript fonts,.gsf,Font,Unknown,,,,,
Corel Ventura Publisher 85x85 dpi font,0.085,Font,application/x-tex-tfm,,,,,
Tagged Font Metric data,.tfm,Font,Unknown,,,,,
XNA Game Studio font,.spritefont,Font,Unknown,,,,,
Bitstream font,.sfo,Font,Unknown,,,,,
Calamus font data file,.cfn,Font,application/x-font-pcf,,,,,
UNIX font,.pcf,Font,Unknown,,,,,
ZenGL font,.zfi,Font,Unknown,,,,,
ChiWriter laser printer font,.lft,Font,Unknown,,,,,
Fontographer font database file,.fog,Font,application/vnd.mfmp,,,,,
VTeX multiple master font metrics,.mfm,Font,Unknown,,,,,
Playground SDK font,.mvec,Font,Unknown,,,,,
Corel font or symbol,.wfn,Font,Unknown,,,,,
Microsoft Windows Private Character Editor font,.euf,Font,Unknown,,,,,
Compact Font,.cff,Font,Unknown,,,,,
Kanji font,.f00,Font,Unknown,,,,,
Adobe Pagemaker Roman 8 extended character set printer font,.8u,Font,Unknown,,,,,
Corel Ventura Publisher 75x75 dpi font,0.075,Font,Unknown,,,,,
OKF font file format,.okf,Font,Unknown,,,,,
Vision Numeric font,.vnf,Font,Unknown,,,,,
Apple QuickTime font file,.qfn,Font,Unknown,,,,,
Borland Turbo C font,.tb2,Font,Unknown,,,,,
Adobe PageMaker math 8 printer font,.8m,Font,Unknown,,,,,
QuickBASIC font,.qbf,Font,Unknown,,,,,
Brother Embroidery software font,.bfn,Font,Unknown,,,,,
Photofont font,.phf,Font,Unknown,,,,,
Binary font,.bzr,Font,Unknown,,,,,
Truetype font styles,.fot,Font,Unknown,,,,,
Ventura Publisher printer font,.b30,Font,Unknown,,,,,
Composite font file,.compositefont,Font,Unknown,,,,,
TrueType font file,.t2,Font,Unknown,,,,,
DOS screen text 10 pixels height font file,.f10,Font,Unknown,,,,,
Borland Turbo C font,.tb1,Font,Unknown,,,,,
Commodore C64 Emulator data or font,.64c,Font,Unknown,,,,,
DOS screen text 8 pixels height font,.f08,Font,Unknown,,,,,
Python Image Library font,.pil,Font,Unknown,,,,,
Symbian OS bitmap font,.gdr,Font,Unknown,,,,,
MS-DOS screen text font,.fnn,Font,Unknown,,,,,
Corel WordPerfect screen font resource file,.frs,Font,Unknown,,,,,
Mac OS X Data Fork Suitcase Format,.ffil,Font,Unknown,,,,,
Corel Ventura Publisher 91x91 dpi font,0.091,Font,Unknown,,,,,
DOS screen text 16 pixels height font file,.f16,Font,Unknown,,,,,
Bitstream outline font description file,.bez,Font,Unknown,,,,,
MS-DOS screen text 6 pixels height font,.f06,Font,Unknown,,,,,
Font,.fonts,Font,Unknown,,,,,
Readiris font dictionary data,.dus,Font,Unknown,,,,,
HP font,.hfi,Font,Unknown,,,,,
EasySIGN font,.sfn,Font,Unknown,,,,,
Ventura Publisher printer font,.w30,Font,Unknown,,,,,
Font definition block of SWT generator,.fdb,Font,Unknown,,,,,
Adobe Postscript Type1 compressible font,.t1c,Font,Unknown,,,,,
LocoScript screen font,.scr,Font,Unknown,,,,,
ChiWriter screen font,.sft,Font,Unknown,,,,,
1st Publisher font,.fnb,Font,Unknown,,,,,
Embrilliance Essentials font,.bx,Font,Unknown,,,,,
Adobe PageMaker font,.12u,Font,Unknown,,,,,
MetaFont font,.#gf,Font,Unknown,,,,,
DOS screen text 12 pixel height font,.f12,Font,Unknown,,,,,
MS-DOS screen text 9 pixels height font,.f09,Font,Unknown,,,,,
Crazy Machines font data,.f3f,Font,Unknown,,,,,
MS-DOS screen text 13 pixels height font,.f13,Font,Unknown,,,,,
LaserJet landscape font,.usl,Font,Unknown,,,,,
Adobe Type Manager data,.atm,Font,Unknown,,,,,
MetaFont Source Formatter,.mft,Font,Unknown,,,,,
Unified font object,.ufo,Font,image/svg+xml,,,,,
SVG fonts format,.svg,Font,Unknown,,,,,
Borland Turbo C font,.fo1,Font,Unknown,,,,,
Adobe Type Manager Japanese font metrics,._v,Font,Unknown,,,,,
Adobe composite font metrics,.acfm,Font,Unknown,,,,,
Mediatek font,.mtf,Font,Unknown,,,,,
BMF ByteMap font file,.bmf,Font,Unknown,,,,,
TeX virtual font,.vf,Font,Unknown,,,,,
Adobe Type Manager multiple-master font metrics,.mmm,Font,Unknown,,,,,
Fontforge Spline Font database file format,.sfd,Font,application/vnd.ms-htmlhelp,,,,,
Chameleon source font,.chm,Font,application/vnd.mobius.txf,,,,,
Celestia font texture,.txf,Font,Unknown,,,,,
Bitstream Speedo scalable font,.spd,Font,Unknown,,,,,
Adobe Type1 Fonts mac file type,.aspf,Font,Unknown,,,,,
Ventura Publisher CGA display font,.cga,Font,Unknown,,,,,
Steinberg Cubase fonts compressed data,.$tf,Font,text/x-setext,,,,,
TeX font file,.etx,Font,application/x-font-bdf,,,,,
UNIX font,.bdf,Font,Unknown,,,,,
Amiga font,.type,Font,Unknown,,,,,
Corel WordPerfect printer resource font,.prs,Font,Unknown,,,,,
Corel Ventura Publisher 96x96 dpi font,0.096,Font,Unknown,,,,,
Daisy-Dot 19x16 font,.nlq,Font,Unknown,,,,,
Adobe Type 1 font,.lwfn,Font,Unknown,,,,,
FIGlet zipped figletized text font,.flf,Font,Unknown,,,,,
Adobe Illustrator compact embedded font,.cef,Font,Unknown,,,,,
Microsoft Word font file,.us?,Font,application/x-font-snf,,,,,
UNIX font,.snf,Font,Unknown,,,,,
Super-IRG font,.sif,Font,Unknown,,,,,
DTL OTMaster character layout,.cha,Font,Unknown,,,,,
Microsoft Word for DOS font file,.r8?,Font,Unknown,,,,,
Microsoft Windows font format,.ntf,Font,Unknown,,,,,
Borland Turbo C font,.fo2,Font,Unknown,,,,,
AfterGRASP font file,.glf,Font,Unknown,,,,,
Corel Ventura printer font,.xfn,Font,Unknown,,,,,
Macintosh font,.mrf,Font,Unknown,,,,,
SmartWare filled area font,.###,Font,Unknown,,,,,
Agfa Compugraphics outline font description,.ff,Font,Unknown,,,,,
Atari 16x16 font,.sxs,Font,Unknown,,,,,
Plazmic font,.cbtf,Font,Unknown,,,,,
Apple MAC font,.sui,Font,Unknown,,,,,
ChiWriter 24 pin printer font,.xft,Font,Unknown,,,,,
General CADD Pro font,.gxf,Font,video/x-ms-asf,,,,,
Lotus screen font,.asf,Font,Unknown,,,,,
Adobe Big Endian Prebuilt Format,.bepf,Font,Unknown,,,,,
CorelDRAW outline font description file,.wnf,Font,Unknown,,,,,
ChiWriter printer font,.pft,Font,Unknown,,,,,
TheDraw font,.tdf,Font,Unknown,,,,,
Arts & Letters library,.all,Font,application/x-director,,,,,
SIL Hebrew Font System transliteration table,.cct,Font,Unknown,,,,,
Intellifont data,.intellifont,Font,Unknown,,,,,
Harvard Graphics 3.0 font,.fn3,Font,application/vnd.spotfire.sfs,,,,,
HP PCL 5 scalable font,.sfs,Font,Unknown,,,,,
AtariTools-800 font,.acs,Font,application/font-tdpfr,,,,,
Font Fusion portable font resource,.pfr,Font,Unknown,,,,,
Adobe PageMaker printer font,.15u,Font,Unknown,,,,,
ZX Spectrum font,.ch4,Font,Unknown,,,,,
Adobe multiple font metrics file,.amfm,Font,Unknown,,,,,
Font definition file,.fd,Font,Unknown,,,,,
Claris font file,.claf,Font,Unknown,,,,,
SmartWare screen font file,.sff,Font,x-conference/x-cooltalk,,,,,
Interlace Character Editor font,.ice,Font,Unknown,,,,,
Adobe Little Endian Prebuilt Format,.lepf,Font,Unknown,,,,,
Fontasy Publisher italic font file,.fyi,Font,video/x-fli,,,,,
Tex font library (EmTeX),.fli,Font,Unknown,,,,,
Adobe multiple master font metrics directory,.mfd,Font,Unknown,,,,,
Marathon 2 Aleph One font file,.fnta,Font,Unknown,,,,,
Ventura Publisher bitmap editor font,.xfr,Font,Unknown,,,,,
Steinberg Cubase fonts compressed file,.$on,Font,Unknown,,,,,
Bits'N'Picas format (version 2.x),.kbitx,Font,Unknown,,,,,
Bits'N'Picas format (version 1.x),.kbits,Document,application/pdf,,,,,
Adobe Portable document format,.pdf,Document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,,,,
Microsoft Word Open XML document,.docx,Document,application/epub+zip,,,,,
Open Publication structure e-book,.epub,Document,Unknown,,,,,
Adobe PageMaker document,.pmd,Document,Unknown,,,,,
Microsoft OpenXPS document,.oxps,Document,Unknown,,,,,
Electronically certified document,.edoc,Document,Unknown,,,,,
Adobe InDesign document,.indd,Document,Unknown,,,,,
BarTender barcode label,.btw,Document,Unknown,,,,,
Pages document,.pages,Document,Unknown,,,,,
Edraw project,.eddx,Document,Unknown,,,,,
Adobe Portable Document Format,._pdf,Document,Unknown,,,,,
Hancom Office Hanshow presentation data,.show,Document,Unknown,,,,,
Microsoft Organization Chart chart data,.mso,Document,Unknown,,,,,
Hanword (Hangul) document,.hwp,Document,Unknown,,,,,
Exam Testing Engine test,.ete,Document,Unknown,,,,,
HP PCL printer output,.prn,Document,Unknown,,,,,
License file,.lic,Document,Unknown,,,,,
InPage Urdu document,.inp,Document,Unknown,,,,,
Microsoft Power BI report,.pbix,Document,Unknown,,,,,
XtraReports report,.prnx,Document,application/msword,,,,,
Microsoft Word document (prior version 2007),.doc,Document,Unknown,,,,,
Adobe PageMaker 6.5 document,.p65,Document,application/x-mspublisher,,,,,
Microsoft Publisher document,.pub,Document,Unknown,,,,,
Associated Signature Container (ASiC-E),.asice,Document,Unknown,,,,,
InDesign Markup Language document,.idml,Document,application/vnd.ms-project,,,,,
Microsoft Project plan file,.mpp,Document,application/vnd.openxmlformats-officedocument.presentationml.presentation,,,,,
Microsoft PowerPoint Open XML presentation,.pptx,Document,Unknown,,,,,
Canvas exported course,.imscc,Document,Unknown,,,,,
Apple iWork document archive,.iwa,Document,Unknown,,,,,
XMind workbook,.xmind,Document,Unknown,,,,,
BanglaWord document,.bwd,Document,Unknown,,,,,
StarUML model,.mdj,Document,Unknown,,,,,
Balsamiq Mockups document,.bmpr,Document,Unknown,,,,,
Extensible Business Reporting Language,.xbrl,Document,Unknown,,,,,
PubMED citation data,.nbib,Document,Unknown,,,,,
MacWrite document,.word,Document,Unknown,,,,,
TI-Nspire document,.tns,Document,Unknown,,,,,
EndNote citation file,.enw,Document,Unknown,,,,,
Microsoft Rights Management PDF protected document,.ppdf,Document,Unknown,,,,,
Adobe Premiere Pro project,.prproj,Document,application/vnd.xfdl,,,,,
Extensible forms description language,.xfdl,Document,Unknown,,,,,
Network Monitor capture data,.cap,Document,Unknown,,,,,
Mimio ink data,.ink,Document,application/andrew-inset,,,,,
EZ Word word processor document,.ez,Document,application/mathematica,,,,,
Mathematica notebook data,.nb,Document,Unknown,,,,,
Druki Gofin document,.gofin,Document,Unknown,,,,,
Notability note,.note,Document,application/vnd.oasis.opendocument.text,,,,,
ODF text document,.odt,Document,application/vnd.ms-powerpoint,,,,,
Microsoft PowerPoint 97 to 2003 presentation,.ppt,Document,application/vnd.geogebra.file,,,,,
GeoGebra document,.ggb,Document,Unknown,,,,,
Microsoft Windows Sticky Notes data,.snt,Document,Unknown,,,,,
JasperReports print data,.jrprint,Document,Unknown,,,,,
Mindmeister mindmap,.mind,Document,Unknown,,,,,
DigiDoc Client document,.bdoc,Document,Unknown,,,,,
aSc TimeTables timetable data,.roz,Document,application/vnd.oasis.opendocument.spreadsheet,,,,,
OpenDocument spreadsheet,.ods,Document,application/x-mswrite,,,,,
Windows Write document,.wri,Document,Unknown,,,,,
Mathcad Prime document,.mcdx,Document,application/vnd.visio,,,,,
Microsoft Visio diagram document,.vsd,Document,Unknown,,,,,
Prezi Desktop presentation data,.pez,Document,Unknown,,,,,
Microsoft Windows Journal note file,.jnt,Document,application/vnd.fdf,,,,,
Adobe Acrobat Portable Document input form,.fdf,Document,application/vnd.ms-xpsdocument,,,,,
Microsoft XPS document,.xps,Document,application/rtf,,,,,
Rich Text Format document,.rtf,Document,application/vnd.groove-tool-template,,,,,
Template file,.tpl,Document,Unknown,,,,,
TextMaker document,.tmd,Document,Unknown,,,,,
FastReport form file,.fr3,Document,Unknown,,,,,
Adobe PageMaker document,.pmx,Document,Unknown,,,,,
MindManager mind map,.mmap,Document,Unknown,,,,,
Ami Pro document,.sam,Document,application/x-tex,,,,,
TeX/LaTeX text document,.tex,Document,Unknown,,,,,
WordPad / JustWrite document,.jw,Document,application/vnd.openxmlformats-officedocument.presentationml.slideshow,,,,,
Microsoft PowerPoint Open XML complete slide show,.ppsx,Document,Unknown,,,,,
wxMaxima document,.wxmx,Document,Unknown,,,,,
Microsoft Access report shapshot,.snp,Document,application/vnd.ms-works,,,,,
Microsoft Works document,.wps,Document,Unknown,,,,,
Microsoft Office InfoPath template form,.xsn,Document,image/vnd.djvu,,,,,
DjVu image,.djvu,Document,Unknown,,,,,
Microsoft Office Mobile personal note,.pwi,Document,Unknown,,,,,
Adobe PageMaker 5 document,.pm5,Document,Unknown,,,,,
BibTeX document,.bib,Document,Unknown,,,,,
HTC Scribble note,.lucy,Document,Unknown,,,,,
SoftMaker Presentations document,.prd,Document,Unknown,,,,,
Edraw Mindmaster / EdrawMind XML project,.emmx,Document,Unknown,,,,,
iWork Keynote '06 presentation,.keynote,Document,application/vnd.sun.xml.writer,,,,,
OpenOffice.org Writer document,.sxw,Document,application/vnd.fujixerox.docuworks,,,,,
DocuWorks document,.xdw,Document,Unknown,,,,,
LabVIEW measurement data,.lvm,Document,application/vnd.wordperfect,,,,,
Corel WordPerfect document,.wpd,Document,Unknown,,,,,
Drumlin secured PDF document,.drmz,Document,Unknown,,,,,
MindMaple mind map document,.emm,Document,application/postscript,,,,,
Adobe PostScript document,.ps,Document,message/rfc822,,,,,
Mime HTML (MHTML) document,.mht,Document,Unknown,,,,,
Final Draft AV document (version 1),.av,Document,Unknown,,,,,
Page template,.pt,Document,Unknown,,,,,
GraphPad Prism XML project,.pzfx,Document,Unknown,,,,,
FreeMind mind map data,.mm,Document,Unknown,,,,,
iThoughtsX mind-map document,.itmz,Document,Unknown,,,,,
SMART Notebook digital lesson,.notebook,Document,Unknown,,,,,
ABBYY eform document,.ffdata,Document,Unknown,,,,,
BibTeX document,.bibtex,Document,application/vnd.lotus-wordpro,,,,,
Lotus Word Pro document,.lwp,Document,Unknown,,,,,
Microsoft Project export,.mpx,Document,Unknown,,,,,
eForms Designer form,.far,Document,Unknown,,,,,
CollaNote note,.cnote,Document,Unknown,,,,,
Business-in-a-Box document,.btd,Document,Unknown,,,,,
AnetHelpTool JavaHelp viewer data file,.lax,Document,Unknown,,,,,
e-Hastakshar contract note,.ftil,Document,Unknown,,,,,
Adobe InDesign graphics document,.ind,Document,Unknown,,,,,
Visual YANG Designer document,.ydd,Document,application/vnd.mcd,,,,,
MathCAD document,.mcd,Document,Unknown,,,,,
ToolBooK project,.tbk,Document,application/msword,,,,,
Microsoft Word document template (up to Microsoft Word 2003 version),.dot,Document,Unknown,,,,,
Microsoft Outlook Express e-mail folder,.dbx,Document,application/vnd.openxmlformats-officedocument.wordprocessingml.template,,,,,
Microsoft Word XML document template,.dotx,Document,Unknown,,,,,
Family Tree Maker project,.ftw,Document,Unknown,,,,,
PDF/X document,.pdfx,Document,Unknown,,,,,
FiberTrace document,.msor,Document,Unknown,,,,,
ABBYY form,.mxfd,Document,Unknown,,,,,
Chinese Academic Journals full-text database,.caj,Document,application/vnd.kde.kivio,,,,,
Freelance flowchart,.flw,Document,application/vnd.ms-powerpoint.slideshow.macroenabled.12,,,,,
Microsoft PowerPoint macro-enabled Open XML complete slide show,.ppsm,Document,Unknown,,,,,
Corel VideoStudio Pro project,.vsp,Document,Unknown,,,,,
Microsoft Windows Live Writer post,.wpostx,Document,application/vnd.ms-powerpoint,,,,,
Microsoft PowerPoint 97 to 2003 complete slide show,.pps,Document,Unknown,,,,,
Adobe FrameMaker document,.rf,Document,Unknown,,,,,
Micrografx Optimal process flow diagram,.pfd,Document,application/x-director,,,,,
Commonspace document,.cst,Document,Unknown,,,,,
Microsoft Office Organization chart file format,.opx,Document,Unknown,,,,,
MakerBot MakerWare 3D document,.x3g,Document,image/x-cmx,,,,,
Corel Presentation exchange image,.cmx,Document,Unknown,,,,,
GoLabel document,.ezpx,Document,Unknown,,,,,
ClarisWorks document,.cwk,Document,Unknown,,,,,
Help Contents data,.cnt,Document,application/vnd.oasis.opendocument.presentation,,,,,
OpenOffice.org OpenDocument presentation,.odp,Document,application/x-msbinder,,,,,
Microsoft Office Binder document,.obd,Document,application/vnd.micrografx.igx,,,,,
iGrafX FlowCharter flow chart or process model,.igx,Document,Unknown,,,,,
Tableau packaged workbook,.twbx,Document,Unknown,,,,,
Microsoft Office binary document container format,.ole2,Document,Unknown,,,,,
RichView document,.rvf,Document,Unknown,,,,,
ThinkFree Write document,.wrf,Document,Unknown,,,,,
Microsoft Word text document,.dox,Document,Unknown,,,,,
Adobe InDesign template,.indt,Document,Unknown,,,,,
MEDLINE document file,.med,Document,Unknown,,,,,
Visual CertExam Suite exam,.vce,Document,Unknown,,,,,
Ability Write document,.aww,Document,Unknown,,,,,
Microsoft Windows Shell Scrap Object,.shs,Document,Unknown,,,,,
Adobe InDesign Interchange File Format,.inx,Document,Unknown,,,,,
Jagannatha Hora document,.jhd,Document,Unknown,,,,,
ArgoUML model file,.zargo,Document,Unknown,,,,,
IFwin project,.if,Document,Unknown,,,,,
PowerSoft report,.psr,Document,Unknown,,,,,
Symantec license,.slf,Document,Unknown,,,,,
Suite Notaro document,.oad,Document,Unknown,,,,,
Openproj project,.pod,Document,Unknown,,,,,
Microsoft PowerPoint import or export data,.pdi,Document,Unknown,,,,,
AutoCAD mass properties report,.mpr,Document,application/vnd.ms-powerpoint.presentation.macroenabled.12,,,,,
Microsoft PowerPoint macro-enabled Open XML presentation,.pptm,Document,Unknown,,,,,
Adobe InDesign for Mac document,.idd,Document,Unknown,,,,,
DDwin project file,.dd,Document,Unknown,,,,,
PicaLoader project,.plp,Document,application/x-mobipocket-ebook,,,,,
Corel Presentations document,.prc,Document,Unknown,,,,,
Microsoft XPS document page,.fpage,Document,Unknown,,,,,
Microsoft SharePoint workflow diagram,.vwi,Document,application/vnd.framemaker,,,,,
FileMaker Pro database,.fm,Document,Unknown,,,,,
SimpleMind mind map,.smmx,Document,application/vnd.framemaker,,,,,
Adobe FrameMaker book document,.book,Document,application/vnd.ms-htmlhelp,,,,,
Microsoft compiled HTML help module,.chm,Document,Unknown,,,,,
Davka Writer document,.dwd,Document,Unknown,,,,,
XSL-FO online form,.zfo,Document,application/vnd.lotus-freelance,,,,,
Freelance presentation,.pre,Document,Unknown,,,,,
Corel WordPerfect document template,.wpt,Document,Unknown,,,,,
UMLet UML eXchange format,.uxf,Document,Unknown,,,,,
GelEval document,.gev,Document,Unknown,,,,,
Samsung Galaxy S memo exported data,.smm,Document,Unknown,,,,,
Guitar Pro 4 project,.gp4,Document,Unknown,,,,,
RightNote note,.rnt,Document,Unknown,,,,,
Evernote exported XML data,.enex,Document,Unknown,,,,,
FreeMarker template,.ftl,Document,Unknown,,,,,
Oracle Reports Remote Printing Utility PDF report,.rrpa,Document,Unknown,,,,,
Microsoft Pocket Word document,.pwd,Document,application/vnd.osgi.dp,,,,,
Common Ground portable file format,.dp,Document,Unknown,,,,,
Adobe PageMaker document,.pm6,Document,Unknown,,,,,
Quizmaker 09' to 13' quiz,.quiz,Document,application/octet-stream,,,,,
Automise ActionStudio action design,.pkg,Document,Unknown,,,,,
Visual UML class diagram & model,.uml,Document,Unknown,,,,,
4D Write document,.4w7,Document,Unknown,,,,,
Microsoft Object Linking and Embedding data,.ole,Document,Unknown,,,,,
iLEAP document,.lp2,Document,application/vnd.stardivision.impress,,,,,
OpenOffice.org presentation,.sdd,Document,Unknown,,,,,
Microsoft Windows Journal template,.jtp,Document,application/vnd.pocketlearn,,,,,
InterVideo WinDVD playlist,.plf,Document,Unknown,,,,,
Omniplan project document,.oplx,Document,Unknown,,,,,
TracePro model file,.oml,Document,Unknown,,,,,
